Year,CountryName,CountryCode,PopulationTotal,Emissionspercapita,EmissionsTotal
2011,Qatar,QAT,1905437,44.01892637,83875.291
2011,Trinidad and Tobago,TTO,1334790,37.14005424,49574.173
2011,Kuwait,KWT,3239181,28.10266175,91029.608
2011,Brunei Darussalam,BRN,399443,24.39201338,9743.219
2011,Aruba,ABW,101936,23.9224121,2438.555
2011,Luxembourg,LUX,518347,20.8978117,10832.318
2011,United Arab Emirates,ARE,8734722,20.43383762,178483.891
2011,Oman,OMN,3210003,20.20389451,64854.562
2011,Saudi Arabia,SAU,28788438,18.07245072,520277.627
2011,Bahrain,BHR,1306014,17.94732981,23439.464
